"Title","Rank","Profile views in 7 days","handle","Followers","# of tweets in 7 days","Total tweet views in 7 days"
"Moose","07","214","@JoeyMooose","Followers: 48.4K","Number of Tweets: 19","Total Views: 269.5K"
"tmas.eth ğŸ‘","08","338","@itstylersays","Followers: 72.3K","Number of Tweets: 150","Total Views: 267.5K"
"Alexâ“","09","2,714","@ShiLLin_ViLLian","Followers: 115.9K","Number of Tweets: 715","Total Views: 261.6K"
"Sandeep Nailwal | sandeep. polygon ğŸ’œ","10","245","@sandeepnailwal","Followers: 250.1K","Number of Tweets: 173","Total Views: 231.8K"
"Dean A.K.A â€œğŸŒŠâ€","11","186","@dhrdean","Followers: 48.5K","Number of Tweets: 37","Total Views: 230.4K"
"Jaako (take my thonzonz)","12","12","@JaakoNFA","Followers: 1","Number of Tweets: 132","Total Views: 225K"
"Franklin","13","392","@franklinisbored","Followers: 166.3K","Number of Tweets: 21","Total Views: 208.6K"
"Alan Carroll","14","16","@alancarroII","Followers: 27.1K","Number of Tweets: 25","Total Views: 196.3K"
"Barkâ“","15","2,189","@barkmeta","Followers: 51.3K","Number of Tweets: 138","Total Views: 186K"
"lightspeed mert | helius.dev","16","361","@0xMert_","Followers: 35.7K","Number of Tweets: 110","Total Views: 176.7K"